year,lead_week,shifted_day,COR
2017,1,21,0.760548
2017,2,28,0.60158
2017,3,35,0.504957
2017,4,42,0.480151
2017,5,49,0.431752
2017,6,56,0.357264
2018,1,21,0.827129
2018,2,28,0.521604
2018,3,35,0.256615
2018,4,42,0.132084
2018,5,49,0.14073
2018,6,56,0.136828
2019,1,21,0.826849
2019,2,28,0.629011
2019,3,35,0.424608
2019,4,42,0.248041
2019,5,49,0.04963
2019,6,56,0.060414
2020,1,21,0.762599
2020,2,28,0.527242
2020,3,35,0.490036
2020,4,42,0.461615
2020,5,49,0.353469
2020,6,56,0.307371
2021,1,21,0.854638
2021,2,28,0.721937
2021,3,35,0.637807
2021,4,42,0.578245
2021,5,49,0.515636
2021,6,56,0.449468
