day,FuXi-S2S_COR,ECMWF_fuxi_COR
0.0,0.95,0.952
1.0,0.9483,0.9489
2.0,0.945,0.9443
3.0,0.9405,0.9382
4.0,0.9349,0.9311
5.0,0.9284,0.923
6.0,0.9214,0.9142
7.0,0.914,0.905
8.0,0.905,0.8941
9.0,0.8934,0.8805
10.0,0.8799,0.865
11.0,0.8649,0.848
12.0,0.8492,0.8303
13.0,0.8334,0.8124
14.0,0.818,0.795
15.0,0.8026,0.7777
16.0,0.7865,0.7599
17.0,0.7698,0.7416
18.0,0.7529,0.7229
19.0,0.736,0.704
20.0,0.7193,0.685
21.0,0.703,0.666
22.0,0.6869,0.6463
23.0,0.6706,0.6256
24.0,0.6544,0.6046
25.0,0.6384,0.5838
26.0,0.6229,0.5638
27.0,0.608,0.5454
28.0,0.594,0.529
29.0,0.5806,0.5145
30.0,0.5676,0.5012
31.0,0.5551,0.4888
32.0,0.543,0.477
33.0,0.5314,0.4656
34.0,0.5204,0.4543
35.0,0.51,0.443
36.0,0.5001,0.4317
37.0,0.4905,0.4205
38.0,0.4813,0.4096
39.0,0.4725,0.3988
40.0,0.4642,0.3883
41.0,0.4563,0.378
42.0,0.449,0.368
