week,start,end
1,0101,0107
2,0108,0114
3,0115,0121
4,0122,0128
5,0129,0204
6,0205,0211
7,0212,0218
8,0219,0225
9,0226,0304
10,0305,0311
11,0312,0318
12,0319,0325
13,0326,0401
14,0402,0408
15,0409,0415
16,0416,0422
17,0423,0429
18,0430,0506
19,0507,0513
20,0514,0520
21,0521,0527
22,0528,0603
23,0604,0610
24,0611,0617
25,0618,0624
26,0625,0701
27,0702,0708
28,0709,0715
29,0716,0722
30,0723,0729
31,0730,0805
32,0806,0812
33,0813,0819
34,0820,0826
35,0827,0902
36,0903,0909
37,0910,0916
38,0917,0923
39,0924,0930
40,1001,1007
41,1008,1014
42,1015,1021
43,1022,1028
44,1029,1104
45,1105,1111
46,1112,1118
47,1119,1125
48,1126,1202
49,1203,1209
50,1210,1216
51,1217,1223
52,1224,1230
