Metric,base0,baseline,water,energy,hydrostatic,temperature,momentum,full
valid_mse_total,1.106112,1.115303,1.140903,1.202475,1.334077,1.109798,1.127443,1.263245
valid_mse_surface,0.608311,0.617451,0.645850,0.700727,0.799224,0.610208,0.613803,0.743934
valid_mse_upper_air,0.497801,0.497852,0.495053,0.501748,0.534852,0.499590,0.513641,0.519310
valid_acc_surface,0.805052,0.801471,0.796669,0.768914,0.728355,0.803641,0.801772,0.751426
valid_acc_upper,0.760477,0.760435,0.762135,0.758188,0.739780,0.759370,0.751984,0.748795
valid_ssim_surface,0.335848,0.382475,0.291775,0.132505,0.222501,0.322249,0.303650,0.395130
valid_ssim_upper,0.439187,0.432093,0.454418,0.432675,0.362504,0.434365,0.421007,0.430381
valid_grad_mse_surface,0.059500,0.059391,0.059065,0.061104,0.061575,0.059357,0.059574,0.060895
valid_grad_mse_upper,0.059958,0.060271,0.060110,0.061978,0.062094,0.061668,0.060556,0.062193
valid_closure_water,-0.022206,-0.005573,0.066568,-0.001372,0.007642,-0.010623,-0.028038,0.013714
valid_closure_energy,0.241053,0.166118,0.118997,0.750060,0.102804,0.388900,0.171883,0.636739
valid_closure_hydrostatic,0.987815,0.987959,0.987451,0.987182,0.995386,0.986599,0.981816,0.994515
valid_closure_temperature,-0.000021,-0.000018,-0.000028,-0.000020,-0.000032,-0.000088,-0.000058,-0.000201
valid_closure_momentum,-0.002776,-0.000178,-0.000528,-0.000935,-0.001434,-0.001389,0.000936,-0.001250
