epoch,train_total,train_mse_surface,train_mse_upper_air,train_focus_weighted,train_tweedie_weighted,train_physical_water_weighted,train_physical_energy_weighted,train_physical_pressure_weighted,train_physical_temp_weighted,train_physical_mom_weighted,valid_total,valid_mse_surface,valid_mse_upper_air,valid_focus_weighted,valid_tweedie_weighted,valid_physical_water_weighted,valid_physical_energy_weighted,valid_physical_pressure_weighted,valid_physical_temp_weighted,valid_physical_mom_weighted
1,37.744855,1.876754,1.345808,0.743083,2.117738,0.424719,0.86342,0.443753,27.346132,2.583448,6.004756,1.150803,1.223482,0.493452,0.54938,0.235065,0.098306,0.347604,0.727586,1.179078
2,5.32729,1.13055,0.931161,0.414526,0.37315,0.185497,0.123575,0.335023,0.931349,0.902459,3.785722,0.946886,0.869402,0.425802,0.372578,0.127782,0.087022,0.309483,0.191711,0.455057
3,3.850271,1.014766,0.722302,0.37487,0.3728,0.120703,0.068389,0.282362,0.24708,0.646999,3.629612,0.942902,0.73387,0.40542,0.399623,0.093751,0.058946,0.315331,0.124274,0.555494
4,3.061307,0.978757,0.626669,0.337171,0.335958,0.095904,0.0699,0.20764,0.048894,0.360414,3.07444,0.848754,0.654342,0.334684,0.339967,0.095612,0.055286,0.295299,0.034501,0.415994
5,2.779204,0.921813,0.591421,0.296845,0.286665,0.086712,0.061124,0.162798,0.030741,0.341086,2.599997,0.827895,0.632219,0.318187,0.289529,0.076192,0.048047,0.194436,0.008663,0.204829
6,2.52629,0.86875,0.562939,0.291338,0.282525,0.070571,0.051934,0.124863,0.010082,0.263287,2.691098,0.806732,0.601999,0.333383,0.290785,0.062417,0.097986,0.226308,0.015804,0.255683
7,2.335871,0.816983,0.543324,0.281493,0.265018,0.065728,0.048853,0.111545,0.009556,0.193371,2.446342,0.789885,0.585151,0.309913,0.271211,0.054054,0.071985,0.231639,0.004958,0.127546
8,2.204556,0.783454,0.52667,0.274023,0.254506,0.054295,0.043833,0.102134,0.00288,0.162761,2.257408,0.746367,0.569583,0.298465,0.261667,0.048896,0.04556,0.185759,0.002479,0.098632
9,2.1494,0.767696,0.514352,0.274443,0.274174,0.054255,0.041331,0.092409,0.00293,0.12781,2.289994,0.759426,0.562512,0.29693,0.281211,0.058275,0.053165,0.196634,0.005531,0.076311
10,2.080118,0.749245,0.507432,0.271797,0.253881,0.051772,0.041238,0.079383,0.00305,0.122321,2.233285,0.77357,0.553894,0.288549,0.247639,0.043664,0.041215,0.189702,0.002266,0.092786
11,2.028127,0.724883,0.505211,0.266109,0.24912,0.048599,0.038709,0.068913,0.002145,0.124437,2.158396,0.722844,0.549618,0.293069,0.259213,0.042546,0.04772,0.171219,0.001862,0.070306
12,1.949449,0.704867,0.498238,0.267228,0.246527,0.043495,0.036578,0.064428,0.001759,0.086329,2.185626,0.738573,0.541202,0.287929,0.26261,0.043006,0.076042,0.164626,0.002634,0.069004
13,1.914176,0.706147,0.492652,0.264502,0.240263,0.047615,0.03154,0.065101,0.001081,0.065276,2.151316,0.763576,0.534356,0.292884,0.263564,0.048492,0.04939,0.160798,0.001485,0.036771
14,1.8999,0.696194,0.490211,0.262708,0.238196,0.046158,0.042968,0.061645,0.001135,0.060685,2.162192,0.709729,0.533949,0.287674,0.281931,0.041761,0.059562,0.181292,0.001489,0.064805
15,1.935776,0.68595,0.488645,0.265011,0.249435,0.051236,0.032233,0.060471,0.001267,0.101527,2.12284,0.706827,0.53355,0.295563,0.250637,0.04621,0.044656,0.180849,0.002961,0.061586
16,1.863221,0.67832,0.483966,0.261041,0.237171,0.042527,0.034734,0.057543,0.000779,0.067141,2.104197,0.720391,0.529696,0.284873,0.248728,0.044899,0.026994,0.186273,0.001341,0.061002
17,1.832329,0.668683,0.483755,0.260223,0.231015,0.040786,0.027982,0.060679,0.001311,0.057893,2.080375,0.711036,0.526305,0.288298,0.276662,0.041572,0.031769,0.159574,0.002138,0.043022
18,1.833718,0.679096,0.48121,0.259113,0.232246,0.040758,0.050924,0.052392,0.000769,0.037209,2.126621,0.714662,0.523794,0.284153,0.27148,0.038288,0.049853,0.16855,0.001275,0.074565
19,1.811847,0.662404,0.48431,0.259594,0.236833,0.038121,0.029092,0.049774,0.001737,0.049983,2.095717,0.691995,0.531868,0.285913,0.275914,0.033959,0.027568,0.188068,0.002993,0.057438
20,1.791976,0.655838,0.482878,0.257586,0.234506,0.03666,0.029582,0.051112,0.001154,0.04266,2.184983,0.773418,0.520166,0.284649,0.250962,0.034556,0.075907,0.185356,0.001166,0.058803
21,1.829058,0.668472,0.477318,0.260329,0.249655,0.040109,0.028629,0.057132,0.000459,0.046956,2.038627,0.682433,0.518402,0.282059,0.283585,0.033708,0.033773,0.162265,0.000878,0.041525
22,1.764854,0.650199,0.476504,0.257911,0.233667,0.036529,0.0242,0.050144,0.000521,0.035181,2.025235,0.701084,0.516599,0.284892,0.257766,0.032955,0.023774,0.176099,0.000764,0.031302
23,1.746355,0.640781,0.473993,0.256188,0.237255,0.034628,0.023258,0.049096,0.000392,0.030763,1.975621,0.682839,0.514567,0.283349,0.256864,0.032696,0.025879,0.144781,0.00186,0.032786
24,1.736038,0.633075,0.473352,0.257556,0.232317,0.036432,0.027042,0.050934,0.000459,0.024871,1.990697,0.683319,0.514905,0.28326,0.26141,0.033437,0.02691,0.160423,0.000764,0.026268
25,1.740539,0.631302,0.47187,0.255694,0.232254,0.034709,0.030569,0.04883,0.000667,0.034644,2.009154,0.662245,0.513865,0.285555,0.255352,0.031391,0.031541,0.201126,0.002224,0.025855
26,1.902004,0.68698,0.482643,0.263386,0.250604,0.047405,0.064201,0.106167,2e-06,0.000617,2.040516,0.700162,0.516791,0.288825,0.260958,0.037878,0.029761,0.20579,3e-06,0.000347
27,1.73758,0.644943,0.476916,0.258535,0.231406,0.036399,0.025391,0.063725,7e-06,0.000256,1.988617,0.70372,0.508521,0.285506,0.263039,0.030358,0.028155,0.169076,9e-06,0.000233
28,1.689348,0.61908,0.470493,0.256961,0.236161,0.032426,0.025445,0.048584,2e-06,0.000195,1.996823,0.650202,0.50321,0.283162,0.321693,0.029884,0.031246,0.177176,2e-06,0.000249
29,1.662796,0.616198,0.466635,0.25445,0.225988,0.031056,0.022603,0.045704,2e-06,0.000162,1.958836,0.664939,0.504295,0.28071,0.256562,0.033869,0.02736,0.190881,2.5e-05,0.000196
30,1.662147,0.614214,0.466714,0.25441,0.22686,0.030631,0.020736,0.048406,3e-06,0.000173,1.901727,0.653921,0.505492,0.284105,0.24396,0.029405,0.03191,0.152715,2.6e-05,0.000193
31,1.67889,0.624341,0.464691,0.254871,0.228703,0.034056,0.021896,0.050186,3e-06,0.000143,1.91324,0.661349,0.499322,0.281743,0.256027,0.029437,0.038057,0.147103,1.2e-05,0.000191
32,1.671549,0.613733,0.464159,0.254641,0.226457,0.031112,0.034904,0.046398,5e-06,0.00014,1.899607,0.643181,0.502052,0.285073,0.249359,0.031151,0.029445,0.159122,1e-06,0.000223
33,1.619611,0.594744,0.462242,0.251911,0.219049,0.029116,0.021644,0.040759,2e-06,0.000144,1.907849,0.63869,0.499387,0.278311,0.256802,0.028647,0.05403,0.151788,6e-06,0.000188
34,1.642825,0.603965,0.461036,0.252132,0.230907,0.030115,0.020638,0.0439,3e-06,0.000128,2.090376,0.687574,0.504022,0.299557,0.337709,0.030791,0.035404,0.195057,1.5e-05,0.000246
35,1.653823,0.598753,0.462807,0.254949,0.227084,0.032219,0.029431,0.048422,4e-06,0.000154,1.925087,0.667799,0.496691,0.281323,0.256284,0.028576,0.024105,0.170113,1e-06,0.000195
36,1.665431,0.622257,0.462294,0.251776,0.229486,0.030744,0.022651,0.046075,3e-06,0.000146,1.890049,0.643854,0.501295,0.279973,0.27667,0.030261,0.030772,0.127009,1.3e-05,0.0002
37,1.634193,0.59809,0.459711,0.251106,0.228586,0.027858,0.023646,0.045057,4e-06,0.000135,1.90582,0.676591,0.499187,0.279841,0.250084,0.025956,0.033479,0.140534,3e-06,0.000146
38,1.604805,0.587271,0.45788,0.24843,0.214623,0.027208,0.029024,0.040259,5e-06,0.000105,1.853035,0.642748,0.493271,0.278731,0.237371,0.026945,0.03471,0.139142,1e-06,0.000117
39,1.597685,0.584127,0.457933,0.248291,0.216153,0.029682,0.021123,0.040293,1e-06,8.2e-05,1.864115,0.631199,0.494737,0.279563,0.273475,0.028878,0.019532,0.136622,3e-06,0.000106
40,1.613132,0.597418,0.459162,0.248277,0.220163,0.028311,0.018267,0.041426,2e-06,0.000105,1.871007,0.638913,0.496606,0.282138,0.243057,0.024123,0.020174,0.165778,2.6e-05,0.000192
41,1.592707,0.583254,0.4566,0.248542,0.221496,0.026469,0.0174,0.038861,4e-06,8.1e-05,1.844004,0.624617,0.495603,0.278404,0.238684,0.023188,0.03322,0.150144,1e-06,0.000143
42,1.588974,0.584067,0.457148,0.247062,0.215187,0.026292,0.021581,0.037487,2e-06,0.000148,1.895369,0.639667,0.493277,0.283567,0.280109,0.030912,0.019498,0.148197,1.8e-05,0.000123
43,1.580805,0.578357,0.456167,0.246751,0.213493,0.025497,0.022401,0.038041,3e-06,9.5e-05,1.844411,0.641216,0.496033,0.280068,0.245669,0.023997,0.023689,0.133622,2e-06,0.000116
44,1.566803,0.57002,0.455662,0.247016,0.21338,0.025608,0.017613,0.037393,2e-06,0.000109,1.851822,0.628073,0.497923,0.280322,0.24028,0.023291,0.03264,0.149085,4e-06,0.000204
45,1.559549,0.568169,0.456222,0.244374,0.212241,0.023965,0.016597,0.037875,4e-06,0.000103,1.862109,0.642058,0.495281,0.27833,0.242642,0.022196,0.027694,0.153792,1e-05,0.000106
46,1.566851,0.571245,0.45603,0.245498,0.213764,0.023344,0.015654,0.041242,3e-06,7e-05,1.906744,0.671912,0.493783,0.291612,0.262769,0.024941,0.018953,0.142654,5e-06,0.000117
47,1.580962,0.573477,0.455335,0.246656,0.216309,0.02499,0.02429,0.039815,2e-06,8.8e-05,1.845268,0.633934,0.493305,0.283893,0.244419,0.021585,0.023143,0.144883,2e-06,0.000104
48,1.572185,0.570943,0.455181,0.245113,0.213192,0.022975,0.024365,0.04035,2e-06,6.4e-05,1.887468,0.641822,0.494014,0.284666,0.259748,0.022257,0.019465,0.165414,3e-06,8.1e-05
49,1.55241,0.560217,0.456658,0.243717,0.211025,0.024117,0.021249,0.035361,3e-06,6.3e-05,1.806517,0.621321,0.494871,0.277324,0.240011,0.023122,0.026447,0.123315,1.4e-05,9.1e-05
50,1.549696,0.562485,0.455372,0.244865,0.212343,0.022383,0.014165,0.038019,3e-06,6.2e-05,1.807309,0.610312,0.492947,0.27492,0.242017,0.022766,0.034184,0.130083,1.7e-05,6.5e-05
