Model,Lead_Time,Temp_RMSE,Temp_ACC,Precip_RMSE,Precip_ACC,SPEI_Agreement
CAS-Canglong,1,6.7181,0.9414,3.3539,0.3894,0.6241
CAS-Canglong,2,6.1414,0.9415,3.4806,0.3923,0.6304
CAS-Canglong,3,6.4481,0.9261,3.3016,0.3415,0.6454
CAS-Canglong,4,6.5836,0.9236,3.4400,0.3534,0.6493
CAS-Canglong,5,5.7959,0.8679,3.2660,0.3048,0.6249
CAS-Canglong,6,6.3725,0.9025,3.4148,0.3026,0.6225
ECMWF,1,2.4998,0.9545,51.9956,0.6544,0.7053
ECMWF,2,2.6661,0.9418,48.1196,0.4471,0.6533
ECMWF,3,3.3896,0.9167,66.5179,0.2839,0.6036
ECMWF,4,3.3432,0.9093,66.9721,0.2938,0.6651
ECMWF,5,3.8133,0.8875,82.2884,0.2129,0.5792
ECMWF,6,4.3570,0.8527,54.2382,0.1167,0.5839
